title,speaker,description,CE_Credits,urllink,Category,format,Cost,educationalObjectives,Source,releaseDate
Treatment Planning and Restoring Implants in the Aesthetic Zone,Dr. John Nosti,"A single central-or-lateral incisor implant crown has been deemed one of the most difficult procedures to master in aesthetic dentistry due to the many pitfalls that can sabotage the end result. Join Dr. John Nosti as he discusses planning the surgical aspect with the end result in mind and the steps necessary to achieve the ideal end result.

Dr. Nosti discusses from start to finish the rationale behind material selection, achieving the ideal shade match, and the importance of setting the tissue up for the definitive restoration, including the ideal impression technique. From start to finish see exactly the what, why, and how to master implants in the aesthetic zone.",1.75,https://www.dentaltown.com/onlinece/details/1010/treatment-planning-and-restoring-implants-in-the-aesthetic-zone,Implant Dentistry,Video, $36,"Understand why and why not to to use immediate implant placement.
Learn how to optimize surgical placement for a screw retained restoration or to communicate this with your surgeon.
Learn how to achieve ideal tissue health and aesthetics for the definitive restoration.
Understand what materials work best for screw retained or cementable restorations in the Aesthetic zone.
Learn tips and tricks for a perfect shade match, which will translate to traditional crown and bridge.
Understand how to fabricate a custom impression coping and it’s importance in lab communication.",Dentaltown,5/20/2020
Pandemic Response in Dentistry to COVID-19: Best Practices for Re-Opening,Dr. Margaret Scarlett,"This course provides the basics of pandemic preparedness and response for COVID-19 with best practices for closing and re-opening of dental practice. Dental health personnel are among those at highest occupational risk for acquiring COVID-19, according to OSHA. Data indicate that both droplets and certain aerosols from both asymptomatic and symptomatic patients up to 13 feet away contain the RNA virus, SARS-CoV-2.

Therefore, minimizing prolonged, close contact with patients will reduce any risk of transmission of pathogens. As the data evolve, key questions remain. This course reviews key infection control policies and practices by dental offices prior to re-opening. Among best practices evolving, these include optimizing teledentistry use for patient intake, management of some emergencies with prescriptions, and risk reduction, including IRT and medical management of caries.",1.75,https://www.dentaltown.com/onlinece/details/1014/pandemic-response-in-dentistry-to-covid-19-best-practices-for-re-opening,Paradental and Infection Control,Video, $36,"Describe key communication in assuring pandemic preparedness, health security and implications for dental practices
) Review key epidemiologic data on COVID-19, including cause, symptoms, course of infection, mode of transmission, and mitigation strategies
Identify gaps in surveillance efforts, including testing, and evolving science of droplet and certain aerosols related to SARS-CoV-2, the virus that causes COVID-19
Review key infection control practices to reduce any risks of droplet or aerosol transmission of any disease
Focus on emerging best practices now and after re-opening, including teledentistry, minimizing patient wait times, increasing air exchanges in offices and medical management of caries",Dentaltown,5/13/2020
Food and Cancer: A Review of the Research,Dr. Pam VanArsdall,"Research suggests that nearly 50% of all cancers are preventable and related to our lifestyles, including our diets. Thousands of studies have been conducted to determine if particular foods reduce our risk or increase our risk of cancer. In this course, findings from cancer research focusing on chemoprevention of particular foods will be discussed. Several different food families and their phytochemicals will be discussed. We will also discuss the mechanisms by which foods could make our bodies unfriendly territory for cancer. Tips from research about how to prepare these foods to preserve maximum potency of important phytochemicals will be shared. Current dietary recommendations for cancer prevention from the World Health Organization and the American Institute of Cancer Research will be discussed. Resources will be shared to help participants continue learning even after this session.",1.5,https://www.dentaltown.com/onlinece/details/993/food-and-cancer-a-review-of-the-research,"Health, Wellness and Ergonomics",Video, $36,"Discuss the mechanisms by which certain foods could make our bodies unfriendly territory for cancer
Define polyphenols and phytochemicals
Discuss specific phytochemicals in foods that have been studied for their potential in fighting cancer
Cite evidenced based preparation tips that help preserve important phytochemicals in foods
List two foods the World Health Organization has classified as Group 1 carcinogens.
List at least three recommendations for cancer prevention from the American Institute for Cancer Research",Dentaltown,5/6/2020
Breathing Easy: Observing Good Respiratory Hygiene,"Karen Daw, RDH","While COVID-19 is foremost in our minds right now, respiratory infections of all kinds lead to thousands of deaths every year in the United States. Proper respiratory hygiene can help lessen the spread of these infections, especially during an outbreak. Mitigating the dangers associated with influenza is a good place to start with any respiratory hygiene plan, and may help to protect your team from other and future aerosol-transmitted diseases. This course covers respiratory hygiene best practices and recommendations for dental health care personnel, including suggested protocols to follow when treating emergency patients during a viral outbreak.",1.5,https://www.dentaltown.com/onlinece/details/1012/breathing-easy-observing-good-respiratory-hygiene,Paradental and Infection Control,PDF, $36,"Understand the CDC-recommended processes for first points of content with potentially infected patients.
Understand the American Dental Association’s definition of dental procedures that qualify as “emergency dentistry.”
Understand the ADA’s recommended processes and cautions when treating emergency patients.
Understand the Occupational Safety and Health Administration’s basic infection prevention measures for most workers.
Understand the CDC-recommended processes for the use of face masks during “conventional capacity,” “contingency capacity” and “crisis capacity.”",Dentaltown,5/1/2020
Full Arch Guided Surgery,Dr. Daniel Domingue,"Learn how to create 3D print surgical guides for full arch implant placement by using software to design to print guides. 3D printing of provisionals for immediate loading is also taught in this course in addition to TBone grafting and immediate implant placements for full arch treatment. The use of PRF (Plasma Rich Fibrin) and its role in wound healing and soft tissue augmentation is explained. Full arch scanning for: surgical guide design, provisional prosthesis, custom abutments, final prosthesis, CBCT imaging and intraoral imaging and their role in full arch guided surgery are all covered. In fact the whole conversion process is described in detail.",1.5,https://www.dentaltown.com/onlinece/details/995/full-arch-guided-surgery,Implant Dentistry,Video, $36,"Understand treatment planning aspects in their practice
Adapt from single-tooth to full-arch reconstruction cases
Simplify armamentarium when utilizing implants int their office.
""Know their limitations"" and understand the limitations of bone, implants, surgery, and grafting
Simplify treatment planning, case presentation, and implement both phases of treatment (surgical and prosthetic)
Cost Considerations
Dealing with Complications",Dentaltown,4/8/2020
COVID-19 – What You Need To Know,Dr. Michael Glick,"The recent COVID-19 pandemic is a disruptive force that will change our personal and professional lives for the foreseeable future. We are trusted healthcare professionals, and our patients will look to us for help and guidance. This presentation will provide information and data that will help oral healthcare professionals alleviate fear and parse facts from fiction.",1.5,https://www.dentaltown.com/onlinece/details/1008/covid-19-what-you-need-to-know,"Health, Wellness and Ergonomics",Video, $36,"understand the vocabulary used during the COVID-19 pandemic
understand the concept of pandemic growth
be able to address concerns about COVID-19 transmission
know where to get information about infection control updates
understand the importance of testing for COVID-19",Dentaltown,4/1/2020
Xerostomia: This Course is Anything but Dry!,Dr. Mark Donaldson,"Dry mouth is a pervasive oral health problem, with up to 50% of the population experiencing this condition. Factors such as age, gender, and medications play significant roles in correctly diagnosing this presentation. The subjective feeling of dry mouth is often referred to as xerostomia but may be more correctly diagnosed as salivary gland dysfunction: a reduced volume of saliva secretion or a change in salivary composition.

Symptoms of dry mouth may range from mild oral discomfort to significant oral disease that can negatively impact patients’ health, dietary intake, and quality of life. Despite the significant prevalence of xerostomia in the general population, however, no standard treatment guidelines exist. Successful treatments are typically individualized for the specific patient and should be targeted at the underlying pathophysiology of the disease. For these reasons, an accurate diagnosis of xerostomia is paramount so that patients may be offered the best treatment possible, and this treatment often involves a multimodal approach. This CE course provides that to all dental professionals.",1.5,https://www.dentaltown.com/onlinece/details/996/xerostomia-this-course-is-anything-but-dry,"Oral Pathology, Pharmacology, and Cariology",Video, $36,"Explain why xerostomia is not simply a problem of “dry mouth,” and describe the underlying pathophysiology
Identify commonly used medications associated with causing xerostomia
Discuss current treatment strategies to include an individualized, yet multimodal and evidence-based approach to success
Describe a systematic approach to xerostomia management that includes reviewing systemic conditions and medication use and emphasizes patient education, lifestyle modifications, and palliative and preventive measures
Recognize some of the most common disease-induced causes of xerostomia",Dentaltown,3/18/2020
The Psychology Behind Why the Patient Says Yes or No to Diagnosed Treatment,Sean Field,Get your entire team on the same page by building their case presentation confidence and skill level with this in-depth treatment coordination training. This course focuses on how to easily increase your practice case acceptance rates by exploring the patient's human nature when dental treatment is being presented to them in your office. Explored are: the five steps to treatment coordination; the psychology behind why a patient says yes or no to treatment; body language to look for that will give you clues about what the patient is thinking; body language to use during case presentation to influence the decision of the patient so they choose your office for their treatment needs; the colors that instill trust; the clinical close; the financial close; how not to judge a book by its cover; and your mental worth.,3,https://www.dentaltown.com/onlinece/details/980/the-psychology-behind-why-the-patient-says-yes-or-no-to-diagnosed-treatment,"Practice Management, HR and Accounting",Video, $36,"Confidently close more of the comprehensive cases in their practice.
Understand what body langue to look for in order to get insights into the patients mind during their decision-making process.
Understand how to properly utilize the 5 steps to treatment coordination.
Understand the importance of the practice management laws and 9/10's rule that are essential to running any dental office.
Effectively communicate with the practices patients and be armed with the powerful verbiage that it takes to close large elective procedures.",Dentaltown,3/4/2020
Creating a Remarkable Dental Practice: Building an Amazing Team,Fred Joyal,"The key to creating a remarkable patient experience is having an amazing team that understands not only what to do, but why you do it. And the key to practice success relies heavily on the quality of your team. This course goes into the importance of practice culture, how you create it, teach it and defend it.

The course goes deep into how you develop your remarkable team, how to improve your odds of hiring the right person, and what to do when you’ve got the wrong person working for you. It goes into the value of data in analyzing the success of your team, the importance of coaching, leadership and training, and every other aspect of building a world class dental team.",2.25,https://www.dentaltown.com/onlinece/details/982/creating-a-remarkable-dental-practice-building-an-amazing-team,"Practice Management, HR and Accounting",Video, $36,"The importance of practice culture, and how to establish and maintain it
Keys to effective hiring and firing of employees to build the strongest team
How to grow and manage a remarkable team
The importance of attitude, positivity and goals",Dentaltown,2/5/2020
Stacking the Tech,Reuben Kamp,"This course details many of the different aspects of technology that dentists should pay attention to when designing or redesigning their offices to ensure a well-planned, patient-focused, technology-driven and technology-aided practice. Topics covered include treatment room design, “future proofing,” HIPAA compliance, security systems, sound systems, waiting room aesthetics and front office systems.",1.5,https://www.dentaltown.com/onlinece/details/997/stacking-the-tech,Office Design,PDF, $35,"Understand the technology decisions that need to be made before opening an office.
Understand how to “future-proof ” an office to open the most cost-effective practice now.
Understand the different types of monitor and audiovisual/TV setups available for treatment rooms and other locations.
Know the different types of sound and security camera options and designs available.
Understand how to be HIPAA compliant from day one.",Dentaltown,2/1/2020
Common Benzodiazepines,"Tammy Smit, CRNA","Sedation for dental treatments and procedures is on the rise, and is often expected by patients. Practitioners offering sedation often request additional information on commonly used pharmaceutical agents. The benzodiazepine class of medications is the most commonly used type of medication used for either oral or intravenous sedation. This course revisits the pharmacology of these prescribed sedatives, including midazolam, diazepam and triazolam.",1.5,https://www.dentaltown.com/onlinece/details/994/common-benzodiazepines,"Oral Pathology, Pharmacology, and Cariology",PDF, $35,Not found,Dentaltown,1/13/2020
Composite Full-Mouth Rehabilitations,Dr. Cory Glenn,"This course goes through all aspects of the process of Full-Mouth Rehabilitation USING COMPOSITE ONLY to make it totally predictable for every restorative dentist. Discussion includes how to plan it, the various steps in their proper order, etc. This course is a must for every restorative dentist.",1.5,https://www.dentaltown.com/onlinece/details/818/composite-full-mouth-rehabilitations,Restorative Dentistry,Video, $36,Not found,Dentaltown,12/18/2019
Cysts that Every Dental Professional Should Know,"Deborah Levin-Goldstein, RDH, MS","Cysts may be commonly seen clinically and radiographically in the oral region and, as such, are imperative for all dental professionals to recognize and understand. The etiology, clinical manifestations, symptoms and treatment options of common odontogenic and nonodontogenic cysts as well as pseudocysts are discussed.",1.5,https://www.dentaltown.com/onlinece/details/991/cysts-that-every-dental-professional-should-know,"Oral Pathology, Pharmacology, and Cariology",Video, $36,"Describe the differences between odontogenic and nonodontogenic cysts.
Distinguish between intraosseous cysts and extraosseous cysts.
Describe the etiology, clinical manifestations, symptoms and treatment options for the following cysts and pseudocysts: Radicular, Residual, Dentigerous, Eruption, Primordial, Odontogenic Keratocyst, Calcifying Odontogenic, Lateral Periodontal, Gingival, Glandular Odontogenic, Nasoplatine canal, Median Palatine, Globulomaxillary, Median Mandibular, Nasolabial, Lymphoepithelial, Epidermal, Dermoid, Thyroglossal Tract, Stafne Defect, Simple Bone and Aneurysmal Bone.",Dentaltown,12/4/2019
"The Tongue’s Role in Airway, Sleep, and Feeding Issues in Children",Dr. Richard Baxter,"Pediatric airway issues, sleep issues, and feeding issues are very common and often last into adulthood if left untreated. Early identification and treatment of these issues are critical to allow children to thrive and have normal growth and development. The dentist is well positioned to identify those at risk, and provide treatment or refer for treatment utilizing a team approach to care.

Many factors impact a child’s airway including enlarged tonsils and adenoids, a high and narrow palate, mouth breathing, and a restricted tongue (often referred to as tongue-tie). Often overlooked, a tongue-tie is likely one of the initial factors that can predispose children and adults to the other airway issues later in life such as mouth breathing, a high palate, and enlarged tonsils. It also can cause sleep, feeding, and speech issues in children. Thankfully, a tongue-tie is the factor that is most easily treated by the dentist with proper technique, planning, and follow-up. In this course, we will help you to identify patients at risk for a restricted tongue and airway issues, and teach you evidence-based strategies to manage these patients and treat them effectively.

We don’t want any children to have a negative quality of life from something that can be released quickly and with minimal trauma to the child and family. Using the techniques in this course can be a starting point for those who wish to learn more about treating children with airway issues, and will help further inform those who have already started the journey of treating children and adults with tongue-ties.",2.5,https://www.dentaltown.com/onlinece/details/990/the-tongues-role-in-airway-sleep-and-feeding-issues-in-children,Pediatric Dentistry,Video, $36,"Screen for, diagnose, and manage airway issues in their practice.
Know what impact a tongue-tie can have on a child's quality of life.
Know the proper techniques to assess a child for issues related to tongue and lip-ties.
Know the proper technique and positioning for completing a tongue-tie release.
Know whether they want to pursue additional training to treat tongue-tie and lip-tie in their office or refer for care.",Dentaltown,11/20/2019
Creating a Remarkable Dental Practice: The State of the Dental Industry,Fred Joyal,"Every period of change creates opportunities as well as risks. Learn how to take advantage of the various disruptions coming to dentistry and the business world as well as the changes in patient behavior as a consumer. Adaptability is the key to the future, and it starts with changing your mindset.

Change is happening all around us, faster every year. In this course you’ll learn about all the changes that have occurred in dentistry, from technology to corporate dentistry to the impact of digital communication. Once you understand the new environment, the course takes you through the next step, which is the ideal mindsets for creating a remarkable practice, how you get the team to understand and adapt them, and the impact they will have on your future.",2,https://www.dentaltown.com/onlinece/details/981/creating-a-remarkable-dental-practice-the-state-of-the-dental-industry,"Practice Management, HR and Accounting",Video, $36,"The two pillars of practice success, and how to achieve them
How to recognize and deal with the forces that are changing dentistry
The ideal mindsets for the remarkable practice
A vision for the most successful long-term practice approach",Dentaltown,11/13/2019
Failing Maxillary Dentition to Guided Immediate Loaded Implants with Restorations,Dr. Thanos Ntounis,"This is a detailed case-presentation that discusses diagnostic requirements for a complex transition from a failing dentition to implant restorations of crown and bridge designs. Discussion focuses on the difference between traditional all on X design and this more biologically sensible crown and bridge design. CBCT, optical scanning and 3-d printing are utilized to allow immediate implantation and loading with a full arch bridge. The entire surgery is recorded in high resolution. A summary discussion follows that discusses post-operative management of this case.",1.75,https://www.dentaltown.com/onlinece/details/989/failing-maxillary-dentition-to-guided-immediate-loaded-implants-with-restorations,Implant Dentistry,Video, $36,"Identify cases that can be benefited from such protocol.
Understand the difference between traditional all on -X protocols vs. immediate loading with crown and bridge designs.
Perform necessary diagnostic aspects for such cases using today's technologies.
Be able to communicate efficiently with surgical specialist on similar cases.
Understand post-operative management principles for immediate loading cases.",Dentaltown,10/16/2019
Implant Supported and Retained Full Arch Removable Treatment,Mr. Chris Bormes,"This course covers in detail MANY different implant supported and retained full arch removable treatment options for the edentulous patient. Treatment options covered will be overdenture bars, such as Hader, Plunger Loc, Sagix and Locator. Also covered will be overdenture studs, such as RT-x, Clix, Locator, O-Rings and Magnets. This course is a MUST for all dentists that treat edentulous patients and want to give them the best options as well as making sense of all the possible options as the dentist.",1.5,https://www.dentaltown.com/onlinece/details/963/implant-supported-and-retained-full-arch-removable-treatment,Implant Dentistry,Video, $36,"Review of available attachment systems for overdenture therapy to simply and successfully restore implant supported prostheses.
Selection of attachments based on patient parameters.
Use of attachments and clinical/laboratory procedures to restore two to eight implants using overdentures.
Pitfalls and how to avoid them.",Dentaltown,8/21/2019
Killer Smile? The Oral-Systemic Connection!,Dr. Mia Geisinger,"Oral health is integral to overall health. This program focuses on the interactions between oral and systemic health for various diseases and populations. Educating patients about the importance of their dental health to the rest of their body is a critical part of our role as healthcare providers. The course also outlines the implementation wellness concepts in your practice in a doctor directed, staff-led team approach for improving outcomes for your patients.",1.5,https://www.dentaltown.com/onlinece/details/972/killer-smile-the-oral-systemic-connection,"Oral Pathology, Pharmacology, and Cariology",Video, $36,"Better understand the current scientific evidence for the oral systemic connection
Develop strategies targeted at particular populations (pregnant patients, patients with diabetes, etc.) to address their unique needs with personalized care
Identify strategies to best optimize oral and overall health in their patients",Dentaltown,8/21/2019
What Is Trending in Pediatric Dentistry,Dr. Jeanette MacLean,"The scientific literature demonstrating the advantages for minimally invasive treatment options is greater than ever. This course will give you an overview of the hottest topics and clinical techniques in dentistry. Part 1: Be SMART: Improve Your Practice with Silver Diamine Fluoride, and Glass Ionomer Cement Silver Diamine Fluoride (SDF) is a revolutionary approach to combating caries in a non-invasive manner. Following a widely publicized 2016 feature in the New York Times, there has been tremendous interest surrounding the use of SDF from patients and dentists. Learn the principles of case selection, informed consent, treatment planning, and a clinical protocol for SDF. Learn how to restore cavities in a quick, effective, and painless way using Glass Ionomer Cement and SDF, known as Silver Modified Atraumatic Restorative Treatment (SMART). Find out how offering minimally-invasive options like SDF and SMART can attract new patients, improve patient satisfaction, and increase internal marketing and word of mouth referrals to your practice. Part 2: Minimally Invasive Cosmetic Treatment Options for Enamel Defects Unsightly congenital enamel defects and acquired white spot lesions can be troublesome for many patients. Historically, these blemishes have been treated with invasive and costly resin bondings and veneers. Dealing with enamel defects can prove particularly troublesome for young patients, which when left untreated, often become a source of embarrassment for the patient. Or worse, some lesions may progress to cavitations, particularly post-orthodontic white spot lesions. This course will review three simple and painless options to manage enamel defects. MI Paste, ICON Resin Infiltration, and etch/bleach seal can improve or even completely reverse the appearance of congenital enamel defects and white spot lesions while preserving tooth structure and repairing the patient’s natural enamel.",3,https://www.dentaltown.com/onlinece/details/970/what-is-trending-in-pediatric-dentistry,Pediatric Dentistry,Video, $36,"Describe the evidence for using SDF and SMART to treat and prevent dental caries
Describe the evidence for using MI Paste, ICON Resin Infiltration, and Etch/Bleach/Seal
Review informed consent, coding, and billing
Describe case selection, materials, and clinical protocol for each procedure",Dentaltown,8/21/2019
Fundamentals of Fixed Prosthodontics: Occlusion Simplified,"Lane M. Ochi DDS, FACD, FICD","This presentation is a follow up to the course ""Fundamentals of Fixed Prosthodontics."" Our outcomes are the result of attention to detail and execution. Just as important as technical improvements are in restorative care, we must be able to fabricate restorations that work in harmony with the entire gnathostomatic system. This requires the selection of the appropriate restorative instruments, and understanding what articulators do and not do. We will discussing how to create a blueprint from a functional and aesthetic diagnostic wax-up and carrying that design though patient approval, provisionals and the definitive restorations. Time-saving tips will be presented from simple single-unit restorations, how to rapidly prototype an aesthetic case and how to complete a full-mouth reconstruction. This course is a must for all restorative dentists.",1.75,https://www.dentaltown.com/onlinece/details/977/fundamentals-of-fixed-prosthodontics-occlusion-simplified,Prosthodontics,Video, $36,"Understanding the difference between positive and negative errors and how implementing the correct one will save valuable chair time at delivery
- How to incorporate a simple method of rapid communication and prototyping to insure we are in full agreement with what the patient desires
Crea- Learn how to get our anterior esthetic restorations to work harmoniously with the TM joint, and minimize breakage or debonding.",Dentaltown,8/21/2019
Fundamentals of Fixed Prosthodontics: Legacy vs. Modern Concepts,"Lane M. Ochi DDS, FACD, FICD","This presentation is a follow up to the course Fundamentals of Fixed Prosthodontics. Our outcomes are the result of attention to detail and execution. Just as important as technical improvements are in restorative care, we must have an awareness of all the interactions of the choices we make. The ability to bond our restorations allow us to be more conservative in our preparations, but there are fundamental rules which must be adhered to insure long term success. And it is essential we are on the same page with our laboratory support. A simple error in the impression will compound on the laboratory side and result in an unacceptable restoration, wasting valuable chair time and inconvenience to our patients. The fundamental rules of bonding and impression taking are among the many areas covered in this course. This course is a must for all restorative dentists.",2,https://www.dentaltown.com/onlinece/details/964/fundamentals-of-fixed-prosthodontics-legacy-vs-modern-concepts,Prosthodontics,Video, $36,"Understanding retention and resistance as it applies to bonded restorations
Recognizing the difference between cast and milled restorations and how it effects retention.
Learn how to accurately capture the marginal detain of your preparations.",Dentaltown,8/21/2019
Injection Molding: Engineering Composite Success.,Dr. Arthur Volker,The injection molding technique composites and ultra-thin anatomic tooth forms creates porcelain-like outcomes at a lower physiological cost. These monolithic restorations can endure and sparkle for decades. The CE course goes in detail on how to use this technique.,1.5,https://www.dentaltown.com/onlinece/details/962/injection-molding-engineering-composite-success,Restorative Dentistry,Video, $36,"Create a monolithic injection molded Class II restoration.
Close black triangles using injection molding technique with patented black triangle matrices and gauge
Create mirror like finish and invisible margins",Dentaltown,8/21/2019
Purchasing or Selling a Dental Practice vs. Associate Buy-In,"William Barrett, Esq.","Practice transitions can often be complicated to navigate. Whether you are looking to expand your practice through acquisition or develop transition plans with minority equity through Associate Buy-Ins, or buying a practice outright, one needs to understand the issues of practice transition from both a buyer and seller’s perspective. This CE course will help one develop an in-depth understanding of the business, legal and practical considerations necessary to execute the ideal transaction. It considers the strategies from each side of the negotiating table. This course looks at the pros and cons of both Associate buy-ins and outright practice sales from the perspective of both the senior and junior dentist. One will gain insight into how, when and why to take on a partner and the various deal structures associated with each option available. In addition, reviewed are the critical documents and things to consider before signing as well as the essential steps in the process. The course also discusses current M&A trends in the industry and how they affect these types of transactions.",2,https://www.dentaltown.com/onlinece/details/919/purchasing-or-selling-a-dental-practice-vs-associate-buy-in,Practice Transitions,Video, $36,"know the current state of the market for mergers, acquisitions and sales of general dentistry and dental specialty practices as well as how market conditions effect sales and purchases
understand the difference between associate/partner buy-ins and out right sales of practices
better navigate the business and legal pros, cons and considerations between practice acquisitions vs. associate buy-in transaction
understand the various deal structures common in practice transitions
evaluate the various financing options available to accomplish a successful transaction",Dentaltown,7/24/2019
The 40-Minute Crown Appointment From Start to Finish,Dr. Bryan Laskin,"This course will take you through each step of the crown appointment, with special focus given to the CAD/CAM restoration, and point out ways to make each step more efficient without compromising the quality of care. Topics such as effective ways to take control of the appointment from the very beginning, how to save time during the procedure, and efficient material choices will all be reviewed during the course.

Completing an appointment in less time does not mean cutting corners or rushing through procedure techniques. This course is going to give you techniques and helpful tools that will simply allow you to complete a successful full coverage restoration as efficiently as possible.",1.5,https://www.dentaltown.com/onlinece/details/932/the-40-minute-crown-appointment-from-start-to-finish,Prosthodontics,Video, $36,"Prepare for your restorative appointments to run more efficiently
Describe anesthetic techniques that require less time to achieve profound anesthesia
Describe an efficient yet effective crown preparation technique that can be performed with consistent success
Identify how to leverage CAD/CAM ceramic materials that can produce a restoration more efficiently
Identify efficient polishing and bonding techniques",Dentaltown,7/17/2019
Periodontal Plastic Surgery: When to Graft and Techniques,"Hana Hobbs DDS, MS, PA","This course covers periodontal plastic surgery procedures including soft-tissue grafting around teeth, implants and before crown and bridge. Indications are given for soft-tissue grafting. Descriptions are given for the system of recession (Miller Classification) as well as the new classification system according to the American and European Academy of Periodontology. Discussed is what type of recession defect coverage is to be anticipated with the recession defects. Different types of grafting procedures are also discussed. Ridge defects are also covered describing the Seibert Classification defect. A video describing the actual procedure of connective tissue grafting on the facial of tooth #24,25 with a frenectomy. Demonstration of root preparation with Cavitron, root conditioning, frenectomy and flap elevation is shown. Furthermore, there is a description of palatal graft harvesting and review some of the complications that can occur and techniques to resolve the issues.",1.5,https://www.dentaltown.com/onlinece/details/939/periodontal-plastic-surgery-when-to-graft-and-techniques,Periodontics,Video, $36,"To understand the new and old classification system of recession and the indications for treatment of mucogingival defects and ridge defects to aid in communication with Periodontist
To understand the goal of treating mucogingival defects on teeth and implants
To understand the importance of attached gingiva around implants
When to refer for soft tissue grafting with restorative treatment",Dentaltown,6/26/2019
Dental Care for the Neurological Patient,Ms. Cindy Kleiman,"Neurological patients make up the largest percentage of patients with non-developmental disabilities. This course provides insight into the oral hygiene challenges they present, from the beginning of the hospital stay, through rehab, and hopefully back to your practice. Learn the importance of oral health in all stages of care.",1.5,https://www.dentaltown.com/onlinece/details/965/dental-care-for-the-neurological-patient,Hygiene,Video, $36,"Cite evidence-based research connecting oral care with critically ill patient care
Provide appropriate care utilizing efficient techniques
Promote the value of dental professionals in improving outcomes in compromised health settings",Dentaltown,6/25/2019
Efficient Workflow for Guided Implant Surgery,"Riley D. Clark, DMD","This informative CE course discusses the complete workflow for guided implant surgery. Topics included are how to effectively acquire CBCTs and merge with STL Files, the details of the Edentulous Workflow with Dual Scan Protocol, and clinical pearls for guided surgery.",1.75,https://www.dentaltown.com/onlinece/details/976/efficient-workflow-for-guided-implant-surgery,Implant Dentistry,Video, $36,"How to Effectively Acquire CBCTs and Merge with STL Files
Edentulous Workflow with Dual Scan Protocol
Clinical Pearls for Guided Surgery",Dentaltown,6/20/2019
Thinking About Dentistry,Dr. Jason Luchtefeld,"In this entertaining talk Dr. Jason Luchtefeld shares some of the problems with the lack of critical thinking skills in dentistry. After demonstrating the need for these skills he then shares common errors in logic and judgment and one is provided with a mental toolkit to combat poor critical thinking in the future. As a bonus, a recorded discussion about scientific verification between Dr. Luchtefeld and Dr. Barry Glassman is included in this lecture.",1.5,https://www.dentaltown.com/onlinece/details/922/thinking-about-dentistry,"Health, Wellness and Ergonomics",Video, $36,"Critically evaluate basic claims for validity
Recognize when a logical fallacy has been deployed
Adjust thinking to accommodate for a variety of topics
Improve your attitude and skills in conversation
Utilize the Baloney Detection Kit",Dentaltown,6/19/2019
GPs Can Deliver Orthodontics with Confidence.,Dr. Dan German,"This course describes many compelling reasons why the GP office is a wonderful place for patients to receive orthodontic care. Research confirms that a patient’s satisfaction with his or her orthodontic care is universally good whether treated by a specialist or GP. This course outlines a formalized method of support, communication and education between GPs and an orthodontic specialist driven collaborative platform. Easy to understand rules of thumb for the inexperienced dentist to guide in choosing patients with the most predictable problems to treat is explained.",1.5,https://www.dentaltown.com/onlinece/details/961/gps-can-deliver-orthodontics-with-confidence,Orthodontics,Video, $36,"Understand why GPs have meaningful advantages over specialists for delivering orthodontics.
What the proven side effects are of having suboptimal smile esthetics
Evidenced-based advantages people have with great smiles
How to work in a formalized collaboration program to provide braces, aligner and arch development treatment for better smiles, better airways, and healthier bites.
Which malocclusions are most predictably treated.
What the profit opportunity is for a GP providing orthodontics.
Learn how large the abundant unmet need is for orthodontics.",Dentaltown,5/29/2019
Principles of Predictable Full-Mouth Rehabilitation,Dr. Cory Glenn,"This course goes through all aspects of the process of Full-Mouth Rehabilitation to make it totally predictable for every restorative dentist. Discussion includes how to plan it, the various steps in their proper order, how to prep segmentally, etc. This course is a must for every restorative dentist.",1.75,https://www.dentaltown.com/onlinece/details/817/principles-of-predictable-full-mouth-rehabilitation,Prosthodontics,Video, $36,"Understand the reasons for full mouth rehabs...
Understand how to plan full mouth rehabs...
Why treating in segments is preferable...
How to make ideal preps through the mock ups..",Dentaltown,5/15/2019
Comprehensive Dental Examination Basics,Dr. Mike Racich,"The practice of dentistry has many fundamental principles or rules that need to be adhered to for clinical success. Once such fundamental principle or rule is proper patient evaluation, namely a comprehensive dental examination. This evidence-based presentation will have all dentists performing the comprehensive dental examination clinically and didactically better than ever before. All who take this course will immediately be able to apply the presented concepts clinically for patient evaluation optimization.",1.5,https://www.dentaltown.com/onlinece/details/931/comprehensive-dental-examination-basics,"Oral Pathology, Pharmacology, and Cariology",Video, $36,"Understand the principles of SOAP (Subjective, Objective, Assessment, Plan/Prognosis)
Lean how to do the Patient interview
Learn how to do the Extraoral and Intraoral exam
Learn how to incorporate Photography and Imaging",Dentaltown,4/10/2019
Mythbusters! Local Anesthesia Edition,"Jason H. Goodchild, DMD","Achieving profound and effective local anesthesia is essential in everyday clinical practice. It is a very often a limiting step in most procedures; meaning invasive procedures cannot begin until it is successfully achieved.

Despite the frequency that oral healthcare providers (i.e., dentists and hygienists) use local anesthetics during clinical practice, misconceptions remain. The goal of this presentation is to discuss several common ‘myths’ surrounding local anesthesia while incorporating up-to-date literature-supported learning issues.

This course will review and update local anesthetic history, techniques, equipment, and current research. At the conclusion of the course providers should have additional tips and tricks to help make their use of local anesthesia more safe and effective!",2,https://www.dentaltown.com/onlinece/details/924/mythbusters-local-anesthesia-edition,Anesthesia and Pain Management,Video, $36,"Discuss current local anesthetic market share in the US
Review the basic pharmacology of local anesthetics
Discuss common ‘myths' associated with local anesthesia
Review the armamentarium of local anesthetic delivery",Dentaltown,4/3/2019
